Month,bloodyMary,moscowMule
2006-01,32,1
2006-02,26,1
2006-03,30,0
2006-04,29,0
2006-05,29,1
2006-06,29,1
2006-07,23,1
2006-08,19,1
2006-09,26,1
2006-10,34,1
2006-11,29,0
2006-12,29,1
2007-01,29,1
2007-02,27,0
2007-03,27,0
2007-04,28,0
2007-05,31,1
2007-06,30,1
2007-07,28,1
2007-08,26,1
2007-09,30,1
2007-10,47,0
2007-11,33,0
2007-12,35,1
2008-01,30,1
2008-02,31,0
2008-03,36,1
2008-04,31,1
2008-05,36,1
2008-06,33,1
2008-07,30,1
2008-08,31,1
2008-09,40,1
2008-10,54,1
2008-11,39,1
2008-12,41,1
2009-01,33,1
2009-02,32,1
2009-03,37,1
2009-04,37,1
2009-05,40,1
2009-06,34,1
2009-07,32,1
2009-08,32,2
2009-09,33,1
2009-10,42,1
2009-11,34,1
2009-12,37,2
2010-01,35,1
2010-02,36,1
2010-03,34,1
2010-04,41,1
2010-05,42,1
2010-06,39,1
2010-07,38,2
2010-08,35,2
2010-09,36,2
2010-10,46,6
2010-11,39,5
2010-12,39,5
2011-01,47,5
2011-02,41,4
2011-03,43,7
2011-04,46,5
2011-05,64,13
2011-06,59,6
2011-07,54,6
2011-08,58,6
2011-09,55,5
2011-10,100,4
2011-11,62,5
2011-12,58,7
2012-01,59,5
2012-02,53,6
2012-03,50,6
2012-04,51,6
2012-05,55,7
2012-06,51,8
2012-07,51,9
2012-08,48,9
2012-09,50,6
2012-10,50,6
2012-11,47,9
2012-12,50,13
2013-01,48,8
2013-02,44,8
2013-03,51,10
2013-04,46,9
2013-05,52,12
2013-06,50,16
2013-07,50,16
2013-08,49,17
2013-09,52,14
2013-10,59,12
2013-11,55,16
2013-12,55,32
2014-01,52,18
2014-02,47,18
2014-03,52,17
2014-04,56,21
2014-05,59,23
2014-06,53,27
2014-07,55,28
2014-08,53,29
2014-09,51,22
2014-10,55,22
2014-11,53,34
2014-12,54,54
2015-01,56,31
2015-02,51,26
2015-03,52,28
2015-04,52,29
2015-05,62,35
2015-06,53,40
2015-07,52,46
2015-08,54,41
2015-09,54,32
2015-10,59,32
2015-11,55,50
2015-12,60,91
2016-01,58,43
2016-02,53,33
2016-03,55,35
2016-04,55,38
2016-05,57,43
2016-06,51,47
2016-07,55,52
2016-08,48,39
2016-09,53,36
2016-10,56,36
2016-11,49,48
2016-12,55,86
2017-01,52,40
2017-02,52,34
2017-03,51,32
2017-04,57,40
2017-05,54,43
2017-06,54,49
2017-07,60,53
2017-08,52,44
2017-09,52,33
2017-10,57,34
2017-11,52,44
2017-12,62,82
2018-01,52,38
2018-02,50,31
2018-03,53,32
2018-04,52,33
2018-05,53,39
2018-06,55,43
2018-07,57,42
2018-08,52,36
2018-09,55,31
2018-10,51,24
2018-11,51,38
2018-12,63,64
2019-01,50,34
2019-02,49,29
2019-03,49,29
2019-04,47,28
2019-05,50,33
2019-06,49,32
