Month,beefExclCorned
2006-01,37
2006-02,33
2006-03,33
2006-04,28
2006-05,28
2006-06,27
2006-07,29
2006-08,27
2006-09,32
2006-10,36
2006-11,35
2006-12,44
2007-01,37
2007-02,35
2007-03,32
2007-04,30
2007-05,28
2007-06,32
2007-07,30
2007-08,30
2007-09,34
2007-10,36
2007-11,36
2007-12,45
2008-01,39
2008-02,41
2008-03,37
2008-04,31
2008-05,32
2008-06,32
2008-07,33
2008-08,31
2008-09,33
2008-10,37
2008-11,39
2008-12,49
2009-01,45
2009-02,41
2009-03,41
2009-04,34
2009-05,33
2009-06,33
2009-07,34
2009-08,37
2009-09,38
2009-10,42
2009-11,42
2009-12,54
2010-01,51
2010-02,44
2010-03,42
2010-04,36
2010-05,36
2010-06,33
2010-07,34
2010-08,36
2010-09,39
2010-10,42
2010-11,44
2010-12,55
2011-01,60
2011-02,53
2011-03,50
2011-04,43
2011-05,42
2011-06,41
2011-07,43
2011-08,46
2011-09,50
2011-10,54
2011-11,52
2011-12,66
2012-01,63
2012-02,52
2012-03,54
2012-04,46
2012-05,44
2012-06,48
2012-07,47
2012-08,46
2012-09,52
2012-10,56
2012-11,52
2012-12,66
2013-01,62
2013-02,57
2013-03,58
2013-04,47
2013-05,45
2013-06,47
2013-07,47
2013-08,50
2013-09,56
2013-10,60
2013-11,61
2013-12,71
2014-01,69
2014-02,60
2014-03,59
2014-04,51
2014-05,51
2014-06,49
2014-07,50
2014-08,49
2014-09,53
2014-10,57
2014-11,61
2014-12,67
2015-01,67
2015-02,60
2015-03,58
2015-04,49
2015-05,47
2015-06,48
2015-07,56
2015-08,56
2015-09,55
2015-10,60
2015-11,61
2015-12,71
2016-01,78
2016-02,66
2016-03,64
2016-04,57
2016-05,57
2016-06,54
2016-07,56
2016-08,56
2016-09,60
2016-10,68
2016-11,63
2016-12,82
2017-01,80
2017-02,71
2017-03,71
2017-04,59
2017-05,60
2017-06,60
2017-07,64
2017-08,61
2017-09,63
2017-10,71
2017-11,72
2017-12,88
2018-01,87
2018-02,73
2018-03,75
2018-04,66
2018-05,65
2018-06,65
2018-07,66
2018-08,66
2018-09,75
2018-10,77
2018-11,76
2018-12,100
2019-01,90
2019-02,79
2019-03,77
2019-04,68
2019-05,65
2019-06,67
