Month,chicken
2006-01,32
2006-02,31
2006-03,31
2006-04,30
2006-05,30
2006-06,30
2006-07,31
2006-08,30
2006-09,33
2006-10,34
2006-11,31
2006-12,29
2007-01,35
2007-02,35
2007-03,30
2007-04,30
2007-05,30
2007-06,32
2007-07,32
2007-08,31
2007-09,33
2007-10,34
2007-11,32
2007-12,33
2008-01,37
2008-02,36
2008-03,35
2008-04,35
2008-05,34
2008-06,33
2008-07,33
2008-08,33
2008-09,35
2008-10,37
2008-11,40
2008-12,36
2009-01,45
2009-02,41
2009-03,40
2009-04,39
2009-05,40
2009-06,39
2009-07,39
2009-08,39
2009-09,40
2009-10,42
2009-11,39
2009-12,38
2010-01,47
2010-02,44
2010-03,41
2010-04,41
2010-05,40
2010-06,38
2010-07,38
2010-08,40
2010-09,42
2010-10,42
2010-11,41
2010-12,41
2011-01,59
2011-02,54
2011-03,51
2011-04,50
2011-05,50
2011-06,49
2011-07,51
2011-08,51
2011-09,52
2011-10,56
2011-11,54
2011-12,49
2012-01,64
2012-02,61
2012-03,57
2012-04,56
2012-05,53
2012-06,54
2012-07,56
2012-08,56
2012-09,59
2012-10,59
2012-11,54
2012-12,54
2013-01,67
2013-02,65
2013-03,62
2013-04,60
2013-05,57
2013-06,58
2013-07,59
2013-08,61
2013-09,63
2013-10,65
2013-11,64
2013-12,56
2014-01,74
2014-02,68
2014-03,66
2014-04,61
2014-05,60
2014-06,63
2014-07,64
2014-08,63
2014-09,63
2014-10,64
2014-11,65
2014-12,60
2015-01,77
2015-02,69
2015-03,64
2015-04,63
2015-05,62
2015-06,62
2015-07,68
2015-08,66
2015-09,68
2015-10,69
2015-11,67
2015-12,64
2016-01,87
2016-02,82
2016-03,75
2016-04,77
2016-05,75
2016-06,72
2016-07,74
2016-08,73
2016-09,75
2016-10,78
2016-11,71
2016-12,73
2017-01,91
2017-02,85
2017-03,85
2017-04,79
2017-05,77
2017-06,79
2017-07,81
2017-08,79
2017-09,76
2017-10,81
2017-11,79
2017-12,79
2018-01,96
2018-02,90
2018-03,85
2018-04,85
2018-05,81
2018-06,82
2018-07,87
2018-08,81
2018-09,84
2018-10,84
2018-11,83
2018-12,82
2019-01,100
2019-02,94
2019-03,89
2019-04,84
2019-05,83
2019-06,85
