Month,chocolate
2006-01,47
2006-02,59
2006-03,40
2006-04,41
2006-05,39
2006-06,36
2006-07,38
2006-08,53
2006-09,47
2006-10,49
2006-11,58
2006-12,85
2007-01,53
2007-02,63
2007-03,46
2007-04,44
2007-05,42
2007-06,42
2007-07,45
2007-08,48
2007-09,45
2007-10,47
2007-11,58
2007-12,80
2008-01,50
2008-02,57
2008-03,46
2008-04,45
2008-05,45
2008-06,40
2008-07,41
2008-08,41
2008-09,42
2008-10,49
2008-11,58
2008-12,77
2009-01,50
2009-02,59
2009-03,47
2009-04,47
2009-05,45
2009-06,43
2009-07,43
2009-08,45
2009-09,45
2009-10,49
2009-11,60
2009-12,83
2010-01,52
2010-02,63
2010-03,50
2010-04,48
2010-05,50
2010-06,44
2010-07,45
2010-08,44
2010-09,44
2010-10,48
2010-11,59
2010-12,80
2011-01,57
2011-02,69
2011-03,50
2011-04,54
2011-05,50
2011-06,48
2011-07,47
2011-08,48
2011-09,50
2011-10,56
2011-11,68
2011-12,92
2012-01,59
2012-02,72
2012-03,54
2012-04,55
2012-05,54
2012-06,52
2012-07,52
2012-08,50
2012-09,54
2012-10,56
2012-11,68
2012-12,91
2013-01,62
2013-02,74
2013-03,63
2013-04,54
2013-05,55
2013-06,55
2013-07,52
2013-08,52
2013-09,54
2013-10,58
2013-11,72
2013-12,95
2014-01,66
2014-02,76
2014-03,58
2014-04,57
2014-05,54
2014-06,50
2014-07,52
2014-08,51
2014-09,50
2014-10,56
2014-11,71
2014-12,92
2015-01,62
2015-02,73
2015-03,55
2015-04,53
2015-05,53
2015-06,51
2015-07,51
2015-08,51
2015-09,51
2015-10,58
2015-11,71
2015-12,95
2016-01,67
2016-02,73
2016-03,59
2016-04,56
2016-05,57
2016-06,51
2016-07,52
2016-08,51
2016-09,53
2016-10,58
2016-11,68
2016-12,98
2017-01,66
2017-02,74
2017-03,59
2017-04,61
2017-05,58
2017-06,53
2017-07,57
2017-08,53
2017-09,53
2017-10,59
2017-11,73
2017-12,99
2018-01,67
2018-02,72
2018-03,62
2018-04,56
2018-05,57
2018-06,53
2018-07,55
2018-08,52
2018-09,55
2018-10,60
2018-11,74
2018-12,100
2019-01,68
2019-02,77
2019-03,59
2019-04,58
2019-05,55
2019-06,52
