Month,kale
2006-01,9
2006-02,8
2006-03,7
2006-04,6
2006-05,7
2006-06,7
2006-07,8
2006-08,8
2006-09,8
2006-10,8
2006-11,9
2006-12,8
2007-01,9
2007-02,9
2007-03,8
2007-04,8
2007-05,7
2007-06,8
2007-07,10
2007-08,8
2007-09,9
2007-10,10
2007-11,10
2007-12,9
2008-01,11
2008-02,11
2008-03,10
2008-04,10
2008-05,10
2008-06,11
2008-07,12
2008-08,11
2008-09,11
2008-10,12
2008-11,13
2008-12,10
2009-01,13
2009-02,13
2009-03,14
2009-04,12
2009-05,13
2009-06,15
2009-07,15
2009-08,12
2009-09,14
2009-10,16
2009-11,16
2009-12,14
2010-01,18
2010-02,17
2010-03,18
2010-04,16
2010-05,17
2010-06,20
2010-07,17
2010-08,16
2010-09,18
2010-10,20
2010-11,21
2010-12,18
2011-01,31
2011-02,28
2011-03,29
2011-04,28
2011-05,28
2011-06,30
2011-07,34
2011-08,31
2011-09,32
2011-10,37
2011-11,39
2011-12,35
2012-01,53
2012-02,48
2012-03,52
2012-04,49
2012-05,47
2012-06,54
2012-07,53
2012-08,50
2012-09,53
2012-10,53
2012-11,51
2012-12,46
2013-01,79
2013-02,72
2013-03,75
2013-04,73
2013-05,69
2013-06,77
2013-07,78
2013-08,72
2013-09,73
2013-10,73
2013-11,75
2013-12,59
2014-01,100
2014-02,81
2014-03,85
2014-04,76
2014-05,71
2014-06,75
2014-07,75
2014-08,65
2014-09,63
2014-10,63
2014-11,63
2014-12,52
2015-01,86
2015-02,69
2015-03,68
2015-04,62
2015-05,61
2015-06,66
2015-07,66
2015-08,59
2015-09,53
2015-10,56
2015-11,59
2015-12,49
2016-01,75
2016-02,61
2016-03,58
2016-04,58
2016-05,56
2016-06,54
2016-07,53
2016-08,47
2016-09,46
2016-10,47
2016-11,44
2016-12,42
2017-01,63
2017-02,55
2017-03,55
2017-04,52
2017-05,50
2017-06,52
2017-07,55
2017-08,49
2017-09,45
2017-10,49
2017-11,50
2017-12,44
2018-01,61
2018-02,50
2018-03,50
2018-04,51
2018-05,47
2018-06,49
2018-07,50
2018-08,44
2018-09,43
2018-10,42
2018-11,45
2018-12,42
2019-01,58
2019-02,49
2019-03,48
2019-04,45
2019-05,41
2019-06,45
