Month,vegetarian
2006-01,67
2006-02,58
2006-03,61
2006-04,61
2006-05,57
2006-06,60
2006-07,59
2006-08,54
2006-09,57
2006-10,57
2006-11,65
2006-12,62
2007-01,61
2007-02,60
2007-03,59
2007-04,59
2007-05,55
2007-06,58
2007-07,59
2007-08,58
2007-09,61
2007-10,62
2007-11,70
2007-12,66
2008-01,70
2008-02,67
2008-03,64
2008-04,60
2008-05,58
2008-06,58
2008-07,60
2008-08,55
2008-09,58
2008-10,61
2008-11,74
2008-12,66
2009-01,71
2009-02,64
2009-03,64
2009-04,62
2009-05,60
2009-06,61
2009-07,64
2009-08,65
2009-09,62
2009-10,68
2009-11,81
2009-12,71
2010-01,78
2010-02,73
2010-03,72
2010-04,67
2010-05,64
2010-06,64
2010-07,60
2010-08,60
2010-09,65
2010-10,66
2010-11,71
2010-12,64
2011-01,82
2011-02,77
2011-03,73
2011-04,71
2011-05,68
2011-06,66
2011-07,65
2011-08,69
2011-09,73
2011-10,76
2011-11,81
2011-12,71
2012-01,85
2012-02,77
2012-03,74
2012-04,74
2012-05,67
2012-06,70
2012-07,70
2012-08,66
2012-09,72
2012-10,66
2012-11,72
2012-12,70
2013-01,82
2013-02,77
2013-03,78
2013-04,69
2013-05,66
2013-06,67
2013-07,67
2013-08,65
2013-09,68
2013-10,70
2013-11,76
2013-12,70
2014-01,81
2014-02,74
2014-03,73
2014-04,68
2014-05,63
2014-06,62
2014-07,65
2014-08,62
2014-09,62
2014-10,63
2014-11,72
2014-12,64
2015-01,72
2015-02,63
2015-03,64
2015-04,59
2015-05,57
2015-06,61
2015-07,63
2015-08,63
2015-09,63
2015-10,68
2015-11,75
2015-12,70
2016-01,80
2016-02,74
2016-03,70
2016-04,69
2016-05,70
2016-06,66
2016-07,66
2016-08,62
2016-09,64
2016-10,66
2016-11,71
2016-12,71
2017-01,79
2017-02,72
2017-03,73
2017-04,71
2017-05,68
2017-06,70
2017-07,90
2017-08,85
2017-09,79
2017-10,81
2017-11,89
2017-12,86
2018-01,100
2018-02,89
2018-03,87
2018-04,80
2018-05,75
2018-06,77
2018-07,80
2018-08,74
2018-09,73
2018-10,74
2018-11,81
2018-12,81
2019-01,89
2019-02,78
2019-03,78
2019-04,75
2019-05,71
2019-06,72
