Region,tabasco,sriracha,year
Vermont,0.23,0.77,2014
Washington,0.19,0.81,2014
California,0.2,0.8,2014
Hawaii,0.19,0.81,2014
District of Columbia,0.19,0.81,2014
North Dakota,0.23,0.77,2014
Louisiana,0.63,0.37,2014
Maine,0.18,0.82,2014
Idaho,0.21,0.79,2014
Montana,0.16,0.84,2014
Minnesota,0.22,0.78,2014
Missouri,0.22,0.78,2014
Nevada,0.22,0.78,2014
New Hampshire,0.2,0.8,2014
Colorado,0.27,0.73,2014
Alaska,0.26,0.74,2014
Maryland,0.21,0.79,2014
Illinois,0.23,0.77,2014
Pennsylvania,0.17,0.83,2014
Massachusetts,0.2,0.8,2014
Wyoming,0.21,0.79,2014
New York,0.25,0.75,2014
Oklahoma,0.26,0.74,2014
Wisconsin,0.23,0.77,2014
Delaware,0.2,0.8,2014
Rhode Island,0.26,0.74,2014
Indiana,0.18,0.82,2014
Nebraska,0.2,0.8,2014
Alabama,0.26,0.74,2014
Iowa,0.15,0.85,2014
Arizona,0.3,0.7,2014
Kentucky,0.26,0.74,2014
Ohio,0.26,0.74,2014
South Carolina,0.23,0.77,2014
Texas,0.44,0.56,2014
Michigan,0.21,0.79,2014
Florida,0.24,0.76,2014
New Jersey,0.26,0.74,2014
North Carolina,0.25,0.75,2014
West Virginia,0.22,0.78,2014
New Mexico,0.24,0.76,2014
Arkansas,0.31,0.69,2014
Connecticut,0.23,0.77,2014
Kansas,0.37,0.63,2014
Tennessee,0.3,0.7,2014
Utah,0.23,0.77,2014
Oregon,0.43,0.57,2014
Virginia,0.46,0.54,2014
Mississippi,0.37,0.63,2014
Georgia,0.34,0.66,2014
South Dakota,0.18,0.82,2014
