Month,tabasco: (United States),sriracha: (United States)
2004-01,22,2
2004-02,17,2
2004-03,23,2
2004-04,18,1
2004-05,22,1
2004-06,18,1
2004-07,18,1
2004-08,16,2
2004-09,16,2
2004-10,24,1
2004-11,21,1
2004-12,20,3
2005-01,20,1
2005-02,39,2
2005-03,17,2
2005-04,20,2
2005-05,25,1
2005-06,19,1
2005-07,16,2
2005-08,19,1
2005-09,28,2
2005-10,19,1
2005-11,16,2
2005-12,19,2
2006-01,19,3
2006-02,19,2
2006-03,16,1
2006-04,17,2
2006-05,19,3
2006-06,16,3
2006-07,16,3
2006-08,16,3
2006-09,17,1
2006-10,16,3
2006-11,15,2
2006-12,14,1
2007-01,14,3
2007-02,15,2
2007-03,15,2
2007-04,22,2
2007-05,17,2
2007-06,17,3
2007-07,15,2
2007-08,18,4
2007-09,18,4
2007-10,19,3
2007-11,67,2
2007-12,23,2
2008-01,20,5
2008-02,19,3
2008-03,17,4
2008-04,18,4
2008-05,16,3
2008-06,19,2
2008-07,17,4
2008-08,22,4
2008-09,25,3
2008-10,30,3
2008-11,28,4
2008-12,25,4
2009-01,32,4
2009-02,33,6
2009-03,35,5
2009-04,40,4
2009-05,40,9
2009-06,41,6
2009-07,47,8
2009-08,45,8
2009-09,51,8
2009-10,52,6
2009-11,45,7
2009-12,42,8
2010-01,45,11
2010-02,45,9
2010-03,51,9
2010-04,52,7
2010-05,51,7
2010-06,45,9
2010-07,44,9
2010-08,46,9
2010-09,52,9
2010-10,47,10
2010-11,41,8
2010-12,37,9
2011-01,19,15
2011-02,21,17
2011-03,19,18
2011-04,19,15
2011-05,21,16
2011-06,20,17
2011-07,20,18
2011-08,19,18
2011-09,19,19
2011-10,24,19
2011-11,22,18
2011-12,24,19
2012-01,22,23
2012-02,19,26
2012-03,23,22
2012-04,20,23
2012-05,21,23
2012-06,21,26
2012-07,24,26
2012-08,22,28
2012-09,21,27
2012-10,20,28
2012-11,20,29
2012-12,23,30
2013-01,23,35
2013-02,24,71
2013-03,21,59
2013-04,22,53
2013-05,22,39
2013-06,22,36
2013-07,23,38
2013-08,22,38
2013-09,21,35
2013-10,22,61
2013-11,23,100
2013-12,21,95
2014-01,20,70
2014-02,20,56
2014-03,26,51
2014-04,21,56
2014-05,21,51
2014-06,20,48
2014-07,20,51
2014-08,24,48
2014-09,21,45
2014-10,22,48
2014-11,21,54
2014-12,22,61
2015-01,23,66
2015-02,22,61
2015-03,22,74
2015-04,25,52
2015-05,23,52
2015-06,24,51
2015-07,20,49
2015-08,21,51
2015-09,18,49
2015-10,19,55
2015-11,18,46
2015-12,21,48
2016-01,18,51
2016-02,18,48
2016-03,17,43
2016-04,22,43
2016-05,18,43
2016-06,17,43
2016-07,18,46
2016-08,17,43
2016-09,18,42
2016-10,19,42
2016-11,19,43
2016-12,17,72
2017-01,17,50
2017-02,18,46
2017-03,16,40
2017-04,17,43
2017-05,17,43
2017-06,19,41
2017-07,26,45
2017-08,19,57
2017-09,20,42
2017-10,19,39
2017-11,18,39
2017-12,20,40
2018-01,20,44
2018-02,18,43
2018-03,19,42
2018-04,20,39
2018-05,22,36
2018-06,20,39
2018-07,21,39
2018-08,20,43
2018-09,21,36
2018-10,20,36
2018-11,19,32
2018-12,22,36
2019-01,21,45
2019-02,20,40
2019-03,19,37
2019-04,20,35
2019-05,19,34
2019-06,20,38
